MeshA	MeshB	FacesA	FacesB	Pairs	Time_ms	Mpairs_s	Intersected
Allen_amygdalohippocampal_area_L.off	Allen_mediodorsal_nucleus_of_thalamus_L.off	106	760	80560	0.043075	1870.23	0	0
Allen_amygdalohippocampal_area_L.off	Allen_mediodorsal_nucleus_of_thalamus_R.off	106	760	80560	0.045663	1764.23	0	0
Allen_amygdalohippocampal_area_L.off	Allen_midbrain_tegmentum_L.off	106	730	77380	0.041001	1887.27	0	0
Allen_amygdalohippocampal_area_L.off	Allen_midbrain_tegmentum_R.off	106	730	77380	0.060976	1269.02	0	0
Allen_amygdalohippocampal_area_L.off	Allen_middle_cerebellar_peduncle_L.off	106	332	35192	0.027532	1278.22	0	0
Allen_amygdalohippocampal_area_L.off	Allen_middle_cerebellar_peduncle_R.off	106	332	35192	0.050198	701.064	0	0
Allen_amygdalohippocampal_area_L.off	Allen_middle_frontal_gyrus_L.off	106	13462	1426972	0.341313	4180.83	0	0
Allen_amygdalohippocampal_area_L.off	Allen_middle_frontal_gyrus_R.off	106	13462	1426972	0.347577	4105.48	0	0
Allen_amygdalohippocampal_area_L.off	Allen_middle_temporal_gyrus_L.off	106	10320	1093920	0.297438	3677.81	0	0
Allen_amygdalohippocampal_area_L.off	Allen_middle_temporal_gyrus_R.off	106	10320	1093920	0.295847	3697.59	0	0
Allen_amygdalohippocampal_area_L.off	Allen_midline_nuclear_complex_L.off	106	248	26288	0.026325	998.594	0	0
Allen_amygdalohippocampal_area_L.off	Allen_midline_nuclear_complex_R.off	106	248	26288	0.029328	896.345	0	0
Allen_amygdalohippocampal_area_L.off	Allen_nucleus_accumbens_L.off	106	472	50032	0.071731	697.495	0	0
Allen_amygdalohippocampal_area_L.off	Allen_nucleus_accumbens_R.off	106	472	50032	0.035125	1424.4	0	0
Allen_amygdalohippocampal_area_L.off	Allen_occipital_pole_L.off	106	1522	161332	0.060192	2680.29	0	0
Allen_amygdalohippocampal_area_L.off	Allen_occipital_pole_R.off	106	1522	161332	0.059237	2723.5	0	0
Allen_amygdalohippocampal_area_L.off	Allen_occipitotemporal_fusiform_gyrus_temporal_part_L.off	106	4584	485904	0.156187	3111.04	0	0
Allen_amygdalohippocampal_area_L.off	Allen_occipitotemporal_fusiform_gyrus_temporal_part_R.off	106	4584	485904	0.16278	2985.04	0	0
Allen_amygdalohippocampal_area_L.off	Allen_olfactory_bulb_L.off	106	8	848	0.025256	33.5762	0	0
Allen_amygdalohippocampal_area_L.off	Allen_olfactory_bulb_R.off	106	8	848	0.018611	45.5645	0	0
Allen_amygdalohippocampal_area_L.off	Allen_olfactory_tract_L.off	106	142	15052	0.023301	645.981	0	0
Allen_amygdalohippocampal_area_L.off	Allen_olfactory_tract_R.off	106	142	15052	0.024304	619.322	0	0
Allen_amygdalohippocampal_area_L.off	Allen_optic_radiation_L.off	106	84	8904	0.023273	382.589	0	0
Allen_amygdalohippocampal_area_L.off	Allen_optic_radiation_R.off	106	84	8904	0.02148	414.525	0	0
Allen_amygdalohippocampal_area_L.off	Allen_optic_tract_L.off	106	276	29256	0.030177	969.48	0	0
Allen_amygdalohippocampal_area_L.off	Allen_optic_tract_R.off	106	276	29256	0.026357	1109.99	0	0
Allen_amygdalohippocampal_area_L.off	Allen_paracentral_lobule_caudal_part_L.off	106	2020	214120	0.076865	2785.66	0	0
Allen_amygdalohippocampal_area_L.off	Allen_paracentral_lobule_caudal_part_R.off	106	2020	214120	0.073281	2921.9	0	0
Allen_amygdalohippocampal_area_L.off	Allen_paracentral_lobule_rostral_part_L.off	106	3082	326692	0.21108	1547.72	0	0
Allen_amygdalohippocampal_area_L.off	Allen_paracentral_lobule_rostral_part_R.off	106	3082	326692	0.21293	1534.27	0	0
Allen_amygdalohippocampal_area_L.off	Allen_paracingulate_gyrus_L.off	106	824	87344	0.048713	1793.03	0	0
Allen_amygdalohippocampal_area_L.off	Allen_paracingulate_gyrus_R.off	106	824	87344	0.045602	1915.35	0	0
Allen_amygdalohippocampal_area_L.off	Allen_parafascicular_nucleus_of_thalamus_L.off	106	112	11872	0.022911	518.179	0	0
Allen_amygdalohippocampal_area_L.off	Allen_parafascicular_nucleus_of_thalamus_R.off	106	112	11872	0.022677	523.526	0	0
Allen_amygdalohippocampal_area_L.off	Allen_paravermis_of_cerebellum_L.off	106	3440	364640	0.110219	3308.32	0	0
Allen_amygdalohippocampal_area_L.off	Allen_paravermis_of_cerebellum_R.off	106	3440	364640	0.105847	3444.97	0	0
Allen_amygdalohippocampal_area_L.off	Allen_parietal_operculum_L.off	106	1234	130804	0.061659	2121.41	0	0
Allen_amygdalohippocampal_area_L.off	Allen_parietal_operculum_R.off	106	1234	130804	0.085954	1521.79	0	0
Allen_amygdalohippocampal_area_L.off	Allen_perirhinal_gyrus_rostral_part_of_FuGt_L.off	106	90	9540	0.02231	427.611	0	0
Allen_amygdalohippocampal_area_L.off	Allen_perirhinal_gyrus_rostral_part_of_FuGt_R.off	106	90	9540	0.022763	419.101	0	0
Allen_amygdalohippocampal_area_L.off	Allen_pineal_body_L.off	106	98	10388	0.022545	460.767	0	0
Allen_amygdalohippocampal_area_L.off	Allen_pineal_body_R.off	106	98	10388	0.023763	437.15	0	0
Allen_amygdalohippocampal_area_L.off	Allen_piriform_region_L.off	106	590	62540	0.037059	1687.58	0	0
